구별,폭력,살인,강도,강간,절도,위도,경도,폭력검거율,살인검거율,강도검거율,강간검거율,절도검거율
중구,0.28939828080229224,0.4444444444444444,0.23076923076923078,0.17783505154639176,0.26417299824663937,37.56361812722828,126.98958691395208,84.76190476190476,100.0,100.0,52.293577981651374,55.68627450980392
종로구,0.22731614135625597,0.3333333333333333,0.15384615384615385,0.12371134020618557,0.11689070718877848,37.57185082446809,126.98417036713045,81.34969325153374,0.0,100.0,67.04545454545455,45.614035087719294
중구,0.059694364851957976,0.2222222222222222,0.23076923076923078,0.030927835051546393,0.11747516072472236,37.55477683026614,126.97349503706045,91.16379310344827,100.0,100.0,76.92307692307693,60.89494163424124
서대문구,0.3677172874880611,0.3333333333333333,0.15384615384615385,0.24999999999999997,0.4172998246639392,37.5649023404956,126.966790740735,81.78539224526601,100.0,100.0,87.59124087591242,54.722492697176236
종로구,0.1494746895893028,0.3333333333333333,0.15384615384615385,0.07216494845360824,0.14786674459380478,37.5718915247338,126.998935936567,80.52147239263803,100.0,100.0,63.23529411764706,47.70318021201413
용산구,0.4546322827125119,0.3333333333333333,0.07692307692307693,0.2603092783505154,0.36937463471654,37.54117933635974,126.96777437089538,82.80402788536018,66.66666666666666,100.0,73.04964539007092,51.216931216931215
성북구,0.1294173829990449,0.3333333333333333,0.0,0.09793814432989692,0.0455873758036236,37.58989767143614,127.01625465308534,88.03278688524591,66.66666666666666,0.0,71.7948717948718,48.59335038363171
동대문구,0.5735434574976122,0.3333333333333333,0.5384615384615385,0.33247422680412375,0.5417884278199883,37.5850804205685,127.045762797538,84.0909090909091,133.33333333333331,114.28571428571428,86.98224852071006,53.145161290322584
마포구,0.650429799426934,0.4444444444444444,0.3076923076923077,0.7242268041237113,0.6995908825248393,37.5510118582052,126.95394117396,80.36449147560259,75.0,100.0,85.66978193146417,48.34437086092716
영등포구,0.8739255014326648,0.8888888888888888,0.8461538461538463,0.615979381443299,0.8176504967855055,37.52585220719,126.90094457988,79.80636237897649,100.0,100.0,70.25089605734766,48.53971962616823
성동구,0.35864374403056354,0.3333333333333333,0.3076923076923077,0.18041237113402062,0.34599649327878435,37.5617947420747,127.036472076258,84.95412844036697,133.33333333333331,25.0,74.54545454545455,54.9171270718232
동작구,0.4680038204393505,0.2222222222222222,0.07692307692307693,0.3608247422680413,0.4769140853302162,37.5131469479959,126.942857105642,80.0606520090978,150.0,100.0,52.22222222222223,59.78742249778565
광진구,0.5334288443170965,0.5555555555555556,0.3076923076923077,0.4329896907216495,0.6434833430742256,37.54292164557882,127.08396170505674,87.91208791208791,60.0,100.0,77.40384615384616,53.32390381895332
은평구,0.2115568290353391,0.2222222222222222,0.07692307692307693,0.06701030927835053,0.2296902396259497,37.60215667958602,126.92131688777928,86.57289002557545,150.0,100.0,75.75757575757575,56.657223796033996
강북구,0.498567335243553,0.4444444444444444,0.07692307692307693,0.24742268041237112,0.2711864406779661,37.637406561393085,127.02733870040592,90.74475777295734,100.0,100.0,84.55882352941177,69.1119691119691
금천구,0.4503342884431709,0.7777777777777777,0.23076923076923078,0.2422680412371134,0.4091174751607247,37.45725314643252,126.89674921449216,86.42745709828394,85.71428571428571,133.33333333333331,76.86567164179104,51.332675222112535
중랑구,0.6308500477554918,0.4444444444444444,0.46153846153846156,0.2603092783505154,0.6347165400350672,37.6182390801576,127.10454224897,86.86746987951808,100.0,116.66666666666667,82.97872340425532,59.68548963545389
강남구,0.7745940783190066,0.8888888888888888,1.0,1.0,0.7036820572764465,37.5093899463715,127.067070541137,86.63946965833759,75.0,84.61538461538461,75.93457943925233,48.58272907053395
관악구,0.9116523400191021,0.8888888888888888,0.5384615384615385,0.7242268041237113,0.9041496201052016,37.4745875338795,126.951062346192,85.67615658362989,50.0,85.71428571428571,83.8006230529595,49.946236559139784
강서구,0.8400191021967527,1.0,0.23076923076923078,0.5309278350515464,0.717124488603156,37.5513470867979,126.849886071842,91.75405147759771,77.77777777777779,100.0,76.42276422764228,59.80519480519481
강동구,0.656160458452722,0.3333333333333333,0.46153846153846156,0.21649484536082472,0.7592051431911162,37.52867274661258,127.12688982770432,85.28896672504378,100.0,100.0,83.06451612903226,55.14888337468983
성북구,0.2115568290353391,0.1111111111111111,0.15384615384615385,0.0,0.11163062536528345,37.603700560962736,127.04013000033656,87.34015345268543,100.0,100.0,80.0,56.34920634920635
구로구,0.7488061127029608,0.5555555555555556,0.15384615384615385,0.365979381443299,0.6294564582115721,37.5070387936593,126.890224925815,80.5977975878343,100.0,50.0,64.83516483516483,55.39568345323741
서초구,0.5487106017191977,1.0,0.38461538461538464,0.5798969072164949,0.5125657510227937,37.49561086789221,127.00528097622328,80.77956989247312,100.0,100.0,72.0754716981132,44.70588235294118
양천구,0.5764087870105061,0.1111111111111111,0.23076923076923078,0.1958762886597938,0.6054938632378726,37.5165549067037,126.865542970902,83.3764553686934,100.0,100.0,79.3103448275862,51.89028910303929
송파구,1.0,0.3333333333333333,0.5384615384615385,0.5335051546391752,0.9999999999999999,37.5019757297179,127.12716129352492,84.0937114673243,100.0,85.71428571428571,87.4493927125506,49.1600790513834
노원구,0.7449856733524355,0.6666666666666666,0.23076923076923078,0.2989690721649485,0.6125073056691993,37.6423345266253,127.071404832413,79.67351237493418,100.0,100.0,80.76923076923077,48.05290227773696
서초구,0.0,0.0,0.0,0.018041237113402067,0.0,37.48155944749938,126.98300906928463,89.67551622418878,0.0,0.0,78.72340425531915,50.798722044728436
은평구,0.2511938872970392,0.2222222222222222,0.15384615384615385,0.15463917525773194,0.23670368205727643,37.6285242467996,126.928631038584,90.17341040462428,100.0,100.0,83.0,59.19220055710307
도봉구,0.3213944603629417,0.2222222222222222,0.15384615384615385,0.08247422680412372,0.2682641729982466,37.65339041848567,127.05270598499143,84.0909090909091,100.0,50.0,88.88888888888889,48.704663212435236
강남구,0.4102196752626551,0.4444444444444444,0.9230769230769231,0.28350515463917525,0.3167738164815897,37.4934972653425,127.077143044327,87.64607679465777,125.0,100.0,86.0,49.473684210526315
